Estado,Tipo_Crime,Ano,Quantidade
PR,Tráfico de Drogas,2018,156
BA,Violência Doméstica,2010,87
MG,Roubo,2000,41
MG,Tráfico de Drogas,2004,62
SC,Homicídio,2005,23
CE,Homicídio,2006,439
PE,Furto,2003,199
RS,Furto,2019,320
CE,Homicídio,2011,148
MG,Tráfico de Drogas,2004,96
BA,Homicídio,2000,52
PE,Furto,2018,171
SC,Homicídio,2023,467
MG,Tráfico de Drogas,2003,25
SP,Roubo,2024,201
PR,Violência Doméstica,2021,478
PR,Tráfico de Drogas,2020,353
CE,Violência Doméstica,2024,319
SC,Furto,2018,207
BA,Roubo,2015,444
AM,Furto,2016,499
CE,Roubo,2017,406
MG,Violência Doméstica,2007,250
PR,Furto,2002,450
SP,Violência Doméstica,2002,78
SP,Homicídio,2002,454
RS,Homicídio,2011,208
PR,Furto,2017,226
PR,Violência Doméstica,2017,106
PR,Homicídio,2002,87
PE,Roubo,2014,107
BA,Homicídio,2011,44
MG,Violência Doméstica,2019,300
SC,Roubo,2020,326
RJ,Roubo,2004,347
RJ,Roubo,2019,460
AM,Homicídio,2022,113
AM,Violência Doméstica,2015,110
AM,Roubo,2003,343
PR,Violência Doméstica,2020,161
SP,Furto,2021,267
PE,Tráfico de Drogas,2001,36
AM,Roubo,2006,227
PE,Homicídio,2000,173
BA,Roubo,2018,295
PR,Homicídio,2024,228
PR,Tráfico de Drogas,2005,320
RJ,Violência Doméstica,2002,4
RS,Roubo,2015,39
AM,Tráfico de Drogas,2009,374
RJ,Furto,2014,439
PE,Tráfico de Drogas,2013,467
PE,Tráfico de Drogas,2008,54
AM,Violência Doméstica,2016,431
SP,Roubo,2007,179
RJ,Roubo,2003,170
PR,Furto,2010,493
PR,Furto,2017,362
CE,Violência Doméstica,2007,250
AM,Tráfico de Drogas,2005,496
MG,Roubo,2018,170
MG,Furto,2017,410
PE,Tráfico de Drogas,2010,408
RS,Homicídio,2024,22
CE,Roubo,2020,113
SC,Tráfico de Drogas,2004,135
RS,Homicídio,2011,20
MG,Roubo,2010,79
SC,Violência Doméstica,2023,478
BA,Tráfico de Drogas,2019,337
CE,Furto,2006,181
RJ,Furto,2004,413
BA,Tráfico de Drogas,2016,99
PR,Violência Doméstica,2010,112
MG,Roubo,2015,484
MG,Furto,2009,380
RJ,Furto,2018,177
CE,Furto,2023,282
BA,Furto,2022,411
RS,Tráfico de Drogas,2021,92
SP,Homicídio,2023,291
BA,Roubo,2013,202
PE,Homicídio,2011,277
SC,Furto,2020,2
SP,Roubo,2009,333
AM,Furto,2001,355
AM,Roubo,2003,493
SP,Tráfico de Drogas,2014,236
SC,Furto,2005,499
PE,Homicídio,2010,5
RJ,Furto,2012,288
PE,Violência Doméstica,2005,227
MG,Homicídio,2018,404
RS,Homicídio,2013,188
PR,Furto,2013,198
RS,Tráfico de Drogas,2004,226
PE,Furto,2019,214
SC,Tráfico de Drogas,2024,407
RJ,Violência Doméstica,2015,229
MG,Violência Doméstica,2008,333
RJ,Violência Doméstica,2015,105
PR,Furto,2003,232
AM,Roubo,2001,58
SC,Roubo,2016,8
PE,Roubo,2007,183
PE,Homicídio,2013,316
MG,Furto,2021,333
RS,Roubo,2015,339
PR,Tráfico de Drogas,2011,487
MG,Furto,2017,357
CE,Homicídio,2020,355
AM,Tráfico de Drogas,2008,414
SP,Homicídio,2001,383
BA,Homicídio,2006,55
PR,Roubo,2017,262
PE,Violência Doméstica,2024,3
PE,Tráfico de Drogas,2013,402
PR,Violência Doméstica,2001,328
SP,Furto,2010,350
AM,Violência Doméstica,2005,242
SC,Furto,2006,260
SC,Roubo,2020,26
RJ,Tráfico de Drogas,2005,326
RS,Homicídio,2001,229
SP,Tráfico de Drogas,2019,170
SC,Homicídio,2006,209
AM,Furto,2009,129
PE,Roubo,2017,290
BA,Roubo,2002,45
RS,Violência Doméstica,2008,289
BA,Tráfico de Drogas,2018,253
RS,Violência Doméstica,2014,482
SP,Homicídio,2017,469
AM,Violência Doméstica,2019,31
PR,Tráfico de Drogas,2013,242
CE,Tráfico de Drogas,2023,255
RJ,Violência Doméstica,2007,181
CE,Tráfico de Drogas,2012,153
BA,Furto,2017,56
RJ,Homicídio,2014,7
SP,Homicídio,2015,350
BA,Roubo,2015,220
RJ,Homicídio,2020,88
BA,Violência Doméstica,2016,361
MG,Tráfico de Drogas,2003,428
BA,Violência Doméstica,2024,184
AM,Roubo,2006,168
PR,Furto,2015,305
AM,Violência Doméstica,2009,406
MG,Tráfico de Drogas,2024,204
RJ,Furto,2004,93
PR,Homicídio,2011,413
PR,Violência Doméstica,2015,299
SP,Roubo,2000,287
SP,Furto,2015,196
MG,Tráfico de Drogas,2011,73
RJ,Furto,2005,426
BA,Violência Doméstica,2018,15
BA,Roubo,2006,230
SC,Tráfico de Drogas,2004,331
CE,Violência Doméstica,2010,297
SC,Violência Doméstica,2023,253
AM,Homicídio,2006,207
CE,Roubo,2012,153
BA,Tráfico de Drogas,2015,116
MG,Tráfico de Drogas,2024,207
PE,Roubo,2011,211
RJ,Tráfico de Drogas,2009,194
CE,Violência Doméstica,2019,276
CE,Roubo,2007,171
RJ,Furto,2005,198
PE,Roubo,2017,320
RS,Tráfico de Drogas,2021,253
RS,Roubo,2001,336
BA,Roubo,2017,272
RJ,Homicídio,2014,188
RJ,Homicídio,2005,141
RS,Furto,2005,201
SP,Violência Doméstica,2018,17
RJ,Roubo,2007,345
BA,Homicídio,2019,142
AM,Roubo,2014,203
CE,Violência Doméstica,2016,383
AM,Tráfico de Drogas,2009,457
AM,Violência Doméstica,2023,464
MG,Roubo,2008,347
RJ,Homicídio,2007,494
RJ,Tráfico de Drogas,2021,34
RS,Furto,2019,491
SP,Furto,2007,147
MG,Violência Doméstica,2014,489
PR,Homicídio,2014,117
SP,Violência Doméstica,2016,88
AM,Furto,2016,273
BA,Roubo,2012,318
MG,Furto,2020,253
AM,Violência Doméstica,2016,483
CE,Tráfico de Drogas,2004,94
AM,Homicídio,2007,136
SC,Violência Doméstica,2002,353
SP,Violência Doméstica,2021,193
SC,Tráfico de Drogas,2009,485
SC,Homicídio,2021,5
MG,Violência Doméstica,2001,140
SC,Violência Doméstica,2000,229
BA,Furto,2003,447
PE,Roubo,2023,216
RJ,Homicídio,2024,391
PR,Tráfico de Drogas,2002,254
BA,Furto,2004,88
RS,Furto,2011,106
PE,Tráfico de Drogas,2003,476
MG,Furto,2007,420
RS,Furto,2013,242
PR,Tráfico de Drogas,2001,383
SC,Tráfico de Drogas,2012,242
SP,Roubo,2000,85
PR,Homicídio,2022,229
RJ,Furto,2004,449
BA,Roubo,2022,320
CE,Tráfico de Drogas,2016,357
RJ,Furto,2004,347
PR,Furto,2016,297
AM,Violência Doméstica,2011,70
BA,Tráfico de Drogas,2016,1
AM,Homicídio,2011,158
PR,Furto,2019,193
AM,Furto,2022,289
AM,Violência Doméstica,2009,75
BA,Furto,2018,76
MG,Homicídio,2000,20
MG,Tráfico de Drogas,2009,377
PR,Homicídio,2007,280
PE,Homicídio,2024,185
MG,Furto,2020,212
RJ,Tráfico de Drogas,2016,449
SP,Roubo,2018,336
PE,Furto,2001,153
CE,Violência Doméstica,2014,477
PE,Homicídio,2000,197
BA,Violência Doméstica,2006,205
PE,Tráfico de Drogas,2001,112
SP,Roubo,2014,149
SC,Tráfico de Drogas,2008,285
BA,Furto,2003,117
CE,Homicídio,2017,374
PR,Tráfico de Drogas,2019,143
RJ,Furto,2011,227
PR,Roubo,2012,252
CE,Violência Doméstica,2011,73
MG,Violência Doméstica,2014,363
MG,Violência Doméstica,2006,365
CE,Roubo,2020,197
RJ,Tráfico de Drogas,2021,16
PR,Homicídio,2022,421
RJ,Tráfico de Drogas,2001,389
PE,Violência Doméstica,2000,394
SC,Tráfico de Drogas,2011,439
PR,Furto,2022,385
PR,Homicídio,2004,220
SC,Tráfico de Drogas,2018,424
RJ,Homicídio,2006,366
AM,Furto,2022,454
SC,Tráfico de Drogas,2003,259
RJ,Homicídio,2012,473
SP,Violência Doméstica,2024,441
SC,Tráfico de Drogas,2020,38
PE,Homicídio,2006,275
PR,Tráfico de Drogas,2019,306
SP,Furto,2012,124
SC,Roubo,2016,445
RJ,Violência Doméstica,2018,48
SC,Tráfico de Drogas,2017,100
PR,Violência Doméstica,2001,101
MG,Homicídio,2019,129
SP,Tráfico de Drogas,2023,203
RJ,Roubo,2004,291
MG,Tráfico de Drogas,2009,170
AM,Tráfico de Drogas,2002,190
CE,Roubo,2020,447
RJ,Violência Doméstica,2013,433
SP,Furto,2005,4
BA,Roubo,2019,266
RS,Violência Doméstica,2000,286
MG,Roubo,2015,438
PE,Furto,2023,25
MG,Furto,2008,200
BA,Roubo,2002,333
MG,Homicídio,2000,86
RJ,Violência Doméstica,2004,261
RS,Roubo,2013,459
MG,Roubo,2000,158
PE,Homicídio,2019,338
BA,Violência Doméstica,2023,51
AM,Furto,2024,143
SP,Furto,2013,30
PE,Tráfico de Drogas,2005,479
MG,Homicídio,2009,435
RJ,Violência Doméstica,2021,444
CE,Tráfico de Drogas,2022,131
SP,Roubo,2012,308
SC,Tráfico de Drogas,2013,489
RS,Homicídio,2013,418
SC,Homicídio,2013,74
RJ,Violência Doméstica,2020,239
BA,Tráfico de Drogas,2001,317
AM,Roubo,2013,104
MG,Tráfico de Drogas,2005,439
CE,Homicídio,2013,483
PE,Homicídio,2000,71
RS,Furto,2022,434
RJ,Tráfico de Drogas,2002,169
AM,Furto,2024,181
MG,Roubo,2021,18
SC,Roubo,2013,18
RS,Tráfico de Drogas,2023,130
AM,Violência Doméstica,2017,388
SC,Furto,2003,30
RS,Homicídio,2005,275
PE,Tráfico de Drogas,2010,455
SP,Tráfico de Drogas,2011,127
RS,Roubo,2008,144
CE,Roubo,2006,412
AM,Violência Doméstica,2000,60
MG,Roubo,2024,456
RJ,Roubo,2023,356
SC,Roubo,2005,462
RS,Roubo,2007,347
PE,Homicídio,2005,212
RS,Violência Doméstica,2012,206
PE,Roubo,2024,315
BA,Tráfico de Drogas,2013,247
PE,Violência Doméstica,2018,159
SP,Homicídio,2018,318
SC,Furto,2014,9
SP,Homicídio,2003,472
PE,Violência Doméstica,2022,137
RS,Roubo,2003,225
RJ,Violência Doméstica,2016,148
SC,Homicídio,2005,277
BA,Tráfico de Drogas,2008,113
SC,Roubo,2004,422
MG,Tráfico de Drogas,2013,338
SC,Tráfico de Drogas,2023,9
PE,Furto,2005,286
PR,Violência Doméstica,2020,168
RJ,Violência Doméstica,2021,472
PR,Furto,2015,126
BA,Homicídio,2004,379
SP,Violência Doméstica,2019,267
BA,Homicídio,2011,431
RJ,Homicídio,2003,406
SP,Furto,2008,138
MG,Roubo,2017,65
SP,Violência Doméstica,2016,417
SC,Violência Doméstica,2009,404
RJ,Roubo,2020,387
PE,Tráfico de Drogas,2002,177
BA,Roubo,2007,24
MG,Roubo,2008,286
SC,Roubo,2007,390
BA,Roubo,2011,57
RJ,Tráfico de Drogas,2003,341
SC,Violência Doméstica,2004,454
RJ,Violência Doméstica,2001,43
CE,Violência Doméstica,2019,448
RJ,Furto,2012,200
PE,Tráfico de Drogas,2021,434
CE,Furto,2020,398
CE,Tráfico de Drogas,2017,30
RJ,Roubo,2024,8
SP,Tráfico de Drogas,2002,246
AM,Tráfico de Drogas,2022,339
MG,Violência Doméstica,2021,164
BA,Homicídio,2002,274
PE,Furto,2011,163
SC,Furto,2005,278
CE,Tráfico de Drogas,2014,91
MG,Homicídio,2019,297
AM,Violência Doméstica,2018,435
AM,Violência Doméstica,2005,163
RS,Tráfico de Drogas,2005,449
RS,Roubo,2001,312
PR,Roubo,2022,138
MG,Violência Doméstica,2008,396
SP,Homicídio,2009,434
SP,Roubo,2015,222
RS,Tráfico de Drogas,2012,254
BA,Tráfico de Drogas,2023,297
PE,Violência Doméstica,2010,203
PR,Roubo,2003,470
SC,Tráfico de Drogas,2014,44
PR,Roubo,2024,420
RS,Roubo,2011,322
RS,Homicídio,2018,63
CE,Furto,2020,49
RS,Roubo,2023,103
PR,Roubo,2002,254
AM,Homicídio,2002,48
RS,Furto,2015,269
PR,Furto,2011,491
SP,Furto,2001,118
PE,Roubo,2013,266
RJ,Tráfico de Drogas,2007,322
PE,Homicídio,2002,184
RJ,Homicídio,2006,396
RS,Violência Doméstica,2012,256
SP,Violência Doméstica,2001,93
SC,Homicídio,2006,107
PR,Furto,2001,478
RS,Furto,2019,111
PE,Homicídio,2016,398
MG,Tráfico de Drogas,2004,58
BA,Furto,2003,442
SP,Roubo,2007,160
SC,Violência Doméstica,2008,340
RS,Tráfico de Drogas,2000,191
RS,Roubo,2015,369
CE,Tráfico de Drogas,2002,46
PR,Roubo,2022,398
AM,Homicídio,2022,40
BA,Violência Doméstica,2015,395
RJ,Roubo,2008,193
RS,Homicídio,2012,404
MG,Furto,2023,77
BA,Tráfico de Drogas,2016,156
PE,Violência Doméstica,2007,274
SC,Tráfico de Drogas,2004,227
CE,Furto,2014,223
CE,Homicídio,2003,406
RJ,Homicídio,2011,217
SC,Tráfico de Drogas,2023,154
RJ,Violência Doméstica,2022,364
BA,Roubo,2015,219
SC,Tráfico de Drogas,2004,189
SC,Homicídio,2004,232
PR,Homicídio,2019,33
PE,Furto,2002,22
SP,Furto,2003,142
CE,Tráfico de Drogas,2001,22
AM,Tráfico de Drogas,2003,206
SC,Tráfico de Drogas,2003,119
RJ,Furto,2020,400
BA,Furto,2015,246
AM,Tráfico de Drogas,2009,363
PR,Violência Doméstica,2018,294
AM,Furto,2006,277
PE,Furto,2022,90
PE,Roubo,2014,442
RJ,Roubo,2003,368
CE,Tráfico de Drogas,2019,445
RJ,Tráfico de Drogas,2018,375
PR,Roubo,2023,310
RS,Roubo,2024,312
RJ,Roubo,2010,424
CE,Homicídio,2003,64
MG,Furto,2001,37
SC,Roubo,2002,388
MG,Tráfico de Drogas,2010,218
SC,Violência Doméstica,2017,453
BA,Violência Doméstica,2010,28
SP,Roubo,2019,39
RJ,Roubo,2010,190
RS,Tráfico de Drogas,2009,196
SC,Roubo,2022,249
SP,Tráfico de Drogas,2001,351
SP,Furto,2015,77
RS,Tráfico de Drogas,2002,313
BA,Roubo,2009,423
PR,Furto,2001,324
AM,Furto,2003,381
SC,Roubo,2020,479
BA,Homicídio,2000,372
BA,Tráfico de Drogas,2005,78
BA,Homicídio,2011,448
PR,Violência Doméstica,2016,211
BA,Roubo,2021,380
SC,Roubo,2005,418
MG,Tráfico de Drogas,2001,15
RJ,Roubo,2006,136
AM,Roubo,2017,413
RS,Roubo,2007,8
MG,Violência Doméstica,2001,10
AM,Homicídio,2020,27
PE,Roubo,2012,472
SC,Violência Doméstica,2022,169
RS,Violência Doméstica,2024,441
RS,Furto,2005,162
SC,Roubo,2016,42
PR,Violência Doméstica,2009,453
AM,Homicídio,2011,242
SC,Furto,2002,173
PE,Violência Doméstica,2005,9
SC,Homicídio,2004,92
BA,Tráfico de Drogas,2005,476
PR,Tráfico de Drogas,2021,495
PR,Roubo,2006,366
AM,Tráfico de Drogas,2010,323
CE,Tráfico de Drogas,2001,137
RS,Homicídio,2015,454
PR,Homicídio,2018,82
PE,Roubo,2013,131
RJ,Homicídio,2008,120
SC,Tráfico de Drogas,2007,123
RJ,Tráfico de Drogas,2021,270
PR,Homicídio,2006,33
MG,Furto,2020,304
MG,Roubo,2004,420
RJ,Violência Doméstica,2022,50
RS,Furto,2005,36
SP,Furto,2021,119
CE,Violência Doméstica,2014,64
PE,Roubo,2020,455
SC,Tráfico de Drogas,2017,104
BA,Violência Doméstica,2004,412
RJ,Violência Doméstica,2002,493
CE,Roubo,2003,374
SC,Tráfico de Drogas,2001,138
MG,Violência Doméstica,2022,125
CE,Tráfico de Drogas,2006,234
PE,Furto,2023,386
AM,Furto,2023,112
SC,Furto,2015,442
CE,Roubo,2023,372
CE,Roubo,2018,466
BA,Roubo,2007,470
SC,Roubo,2007,48
PR,Furto,2015,263
PR,Tráfico de Drogas,2014,119
MG,Violência Doméstica,2014,37
AM,Tráfico de Drogas,2010,55
RJ,Violência Doméstica,2005,470
SP,Furto,2013,110
RJ,Violência Doméstica,2015,377
CE,Tráfico de Drogas,2020,209
CE,Violência Doméstica,2016,39
SP,Tráfico de Drogas,2001,373
SP,Furto,2019,398
MG,Tráfico de Drogas,2001,245
PE,Roubo,2002,253
RJ,Homicídio,2015,84
MG,Roubo,2013,278
MG,Homicídio,2024,277
SP,Homicídio,2003,102
AM,Furto,2009,113
RS,Homicídio,2006,296
CE,Roubo,2004,39
PE,Tráfico de Drogas,2019,456
RJ,Furto,2022,307
MG,Violência Doméstica,2015,491
RJ,Violência Doméstica,2007,471
RS,Tráfico de Drogas,2010,219
MG,Homicídio,2009,231
BA,Violência Doméstica,2017,149
CE,Furto,2013,41
SP,Violência Doméstica,2011,157
AM,Furto,2015,332
MG,Tráfico de Drogas,2013,122
BA,Tráfico de Drogas,2023,58
PE,Tráfico de Drogas,2016,281
CE,Roubo,2024,239
CE,Tráfico de Drogas,2024,448
PE,Violência Doméstica,2024,470
CE,Violência Doméstica,2015,243
CE,Furto,2014,335
RS,Furto,2023,479
SC,Homicídio,2006,253
CE,Tráfico de Drogas,2024,45
SP,Violência Doméstica,2018,232
BA,Furto,2000,186
PE,Tráfico de Drogas,2019,499
RJ,Tráfico de Drogas,2021,361
MG,Homicídio,2017,338
RS,Furto,2012,156
AM,Violência Doméstica,2009,471
AM,Roubo,2005,93
SC,Roubo,2010,153
RS,Violência Doméstica,2003,430
CE,Roubo,2021,86
CE,Tráfico de Drogas,2008,145
AM,Furto,2008,235
CE,Furto,2012,424
MG,Tráfico de Drogas,2011,273
PR,Furto,2021,346
SC,Homicídio,2013,34
SP,Tráfico de Drogas,2005,225
MG,Violência Doméstica,2002,498
BA,Violência Doméstica,2005,3
RJ,Homicídio,2001,204
SP,Tráfico de Drogas,2005,267
AM,Furto,2002,153
RJ,Tráfico de Drogas,2013,276
MG,Furto,2010,427
RS,Roubo,2006,132
BA,Furto,2007,495
SP,Homicídio,2001,406
RS,Furto,2015,49
RS,Furto,2001,144
MG,Roubo,2006,159
RS,Tráfico de Drogas,2004,440
BA,Violência Doméstica,2005,360
CE,Tráfico de Drogas,2024,201
MG,Tráfico de Drogas,2001,114
SC,Furto,2018,152
SC,Tráfico de Drogas,2014,190
PR,Homicídio,2007,123
PR,Furto,2008,107
CE,Violência Doméstica,2004,181
PR,Homicídio,2024,375
PR,Homicídio,2007,109
PR,Furto,2022,229
SP,Homicídio,2003,223
RS,Violência Doméstica,2023,302
SC,Roubo,2021,251
BA,Roubo,2013,251
CE,Furto,2012,416
SP,Homicídio,2006,427
SP,Roubo,2021,12
PR,Violência Doméstica,2008,6
RJ,Tráfico de Drogas,2014,81
SP,Violência Doméstica,2018,389
SP,Violência Doméstica,2006,92
PE,Violência Doméstica,2015,93
SC,Tráfico de Drogas,2023,70
SC,Homicídio,2012,465
BA,Furto,2007,268
AM,Homicídio,2002,173
AM,Furto,2000,245
BA,Tráfico de Drogas,2015,151
PE,Roubo,2005,82
CE,Homicídio,2010,25
RJ,Roubo,2014,198
PE,Homicídio,2007,142
RJ,Violência Doméstica,2003,139
CE,Roubo,2008,135
RJ,Furto,2020,358
PR,Homicídio,2021,127
SC,Violência Doméstica,2004,390
RJ,Tráfico de Drogas,2015,6
RS,Violência Doméstica,2003,219
PE,Homicídio,2014,296
PE,Roubo,2010,237
PR,Roubo,2005,179
PR,Furto,2021,450
PR,Homicídio,2002,350
AM,Homicídio,2022,32
PR,Homicídio,2024,167
BA,Tráfico de Drogas,2014,455
SC,Roubo,2023,483
PE,Homicídio,2008,354
BA,Furto,2008,161
PR,Furto,2019,217
SP,Homicídio,2013,86
RS,Furto,2023,78
SC,Homicídio,2001,223
SC,Homicídio,2023,473
PR,Violência Doméstica,2010,241
CE,Furto,2024,478
MG,Tráfico de Drogas,2008,223
BA,Tráfico de Drogas,2002,415
MG,Tráfico de Drogas,2000,337
AM,Homicídio,2006,279
CE,Furto,2005,375
RS,Violência Doméstica,2003,269
AM,Tráfico de Drogas,2005,323
BA,Tráfico de Drogas,2014,63
RJ,Roubo,2017,137
SP,Violência Doméstica,2007,356
MG,Roubo,2002,42
PE,Homicídio,2002,256
SP,Tráfico de Drogas,2015,376
RJ,Tráfico de Drogas,2019,282
CE,Violência Doméstica,2000,101
BA,Furto,2002,336
AM,Roubo,2018,259
SP,Furto,2021,249
RS,Homicídio,2016,101
PR,Tráfico de Drogas,2014,2
BA,Violência Doméstica,2009,8
MG,Homicídio,2010,5
RJ,Furto,2006,16
SC,Violência Doméstica,2006,15
BA,Homicídio,2024,439
RS,Furto,2018,106
PE,Furto,2019,252
SP,Roubo,2022,59
CE,Violência Doméstica,2021,77
PE,Roubo,2020,108
PR,Homicídio,2003,385
BA,Violência Doméstica,2015,434
AM,Furto,2016,74
BA,Violência Doméstica,2004,367
CE,Homicídio,2008,398
AM,Furto,2005,394
PR,Furto,2005,489
BA,Violência Doméstica,2016,475
CE,Violência Doméstica,2020,386
RS,Homicídio,2008,303
MG,Violência Doméstica,2007,477
AM,Violência Doméstica,2000,468
RJ,Furto,2013,235
MG,Furto,2007,3
MG,Furto,2007,253
PR,Furto,2004,34
MG,Homicídio,2012,198
MG,Furto,2001,287
SC,Violência Doméstica,2013,378
PR,Furto,2005,69
PE,Violência Doméstica,2017,461
RJ,Furto,2023,488
CE,Homicídio,2010,38
BA,Homicídio,2005,463
CE,Roubo,2003,295
RS,Furto,2010,261
PE,Roubo,2022,385
PE,Tráfico de Drogas,2015,191
MG,Tráfico de Drogas,2003,350
MG,Homicídio,2012,162
RJ,Roubo,2016,244
PR,Homicídio,2015,334
AM,Homicídio,2003,90
BA,Furto,2003,464
RS,Furto,2012,176
SC,Roubo,2014,170
CE,Homicídio,2008,289
SC,Furto,2003,492
CE,Violência Doméstica,2011,421
PR,Furto,2014,494
BA,Homicídio,2005,96
MG,Violência Doméstica,2017,286
BA,Violência Doméstica,2019,243
PR,Homicídio,2016,65
SP,Furto,2018,134
RS,Furto,2020,404
RS,Tráfico de Drogas,2010,409
PR,Homicídio,2021,134
PR,Tráfico de Drogas,2011,369
PE,Violência Doméstica,2007,11
PR,Furto,2021,432
MG,Roubo,2015,457
AM,Violência Doméstica,2003,271
RS,Roubo,2017,286
AM,Furto,2002,160
RS,Furto,2002,153
BA,Violência Doméstica,2014,220
CE,Roubo,2009,411
BA,Violência Doméstica,2008,462
CE,Homicídio,2021,479
BA,Roubo,2001,449
SC,Tráfico de Drogas,2006,90
BA,Violência Doméstica,2017,423
RS,Violência Doméstica,2008,430
RS,Roubo,2018,235
RJ,Homicídio,2016,49
SC,Tráfico de Drogas,2019,191
PR,Tráfico de Drogas,2022,325
CE,Homicídio,2004,174
PR,Furto,2011,99
RJ,Violência Doméstica,2012,244
PR,Homicídio,2006,228
RS,Homicídio,2002,18
AM,Tráfico de Drogas,2008,281
MG,Tráfico de Drogas,2000,438
PR,Tráfico de Drogas,2014,445
SC,Homicídio,2019,113
SP,Tráfico de Drogas,2005,189
BA,Violência Doméstica,2001,131
SP,Furto,2001,79
AM,Roubo,2014,276
AM,Violência Doméstica,2011,342
PE,Violência Doméstica,2008,181
SP,Homicídio,2018,331
RS,Violência Doméstica,2023,398
BA,Furto,2007,172
CE,Tráfico de Drogas,2020,152
BA,Homicídio,2003,382
PR,Furto,2000,488
RJ,Furto,2013,468
MG,Tráfico de Drogas,2008,418
SP,Furto,2021,234
CE,Tráfico de Drogas,2011,385
AM,Roubo,2007,15
SC,Tráfico de Drogas,2003,30
SC,Tráfico de Drogas,2004,260
SC,Violência Doméstica,2005,234
SC,Violência Doméstica,2007,9
CE,Roubo,2009,69
PE,Roubo,2019,441
BA,Violência Doméstica,2012,277
CE,Roubo,2012,204
CE,Homicídio,2004,29
RJ,Tráfico de Drogas,2016,273
SP,Furto,2003,430
PR,Tráfico de Drogas,2004,168
SC,Homicídio,2018,265
RJ,Violência Doméstica,2013,42
PE,Roubo,2004,344
SP,Roubo,2009,380
PR,Furto,2018,215
MG,Violência Doméstica,2019,175
CE,Furto,2000,444
PR,Tráfico de Drogas,2023,109
BA,Tráfico de Drogas,2018,107
BA,Tráfico de Drogas,2019,388
RJ,Roubo,2017,433
CE,Roubo,2005,345
CE,Violência Doméstica,2016,139
MG,Homicídio,2005,263
PE,Tráfico de Drogas,2008,140
SC,Roubo,2000,110
PE,Violência Doméstica,2002,317
RS,Roubo,2010,296
AM,Roubo,2008,373
PE,Violência Doméstica,2001,479
RJ,Roubo,2012,406
RJ,Homicídio,2020,60
RJ,Roubo,2020,466
AM,Roubo,2016,430
SC,Homicídio,2024,156
RS,Furto,2014,473
PR,Roubo,2023,39
RJ,Homicídio,2006,367
RJ,Violência Doméstica,2000,30
AM,Furto,2014,199
PE,Homicídio,2018,448
PE,Roubo,2007,35
PE,Homicídio,2019,397
RS,Tráfico de Drogas,2011,15
BA,Tráfico de Drogas,2023,64
CE,Tráfico de Drogas,2001,282
CE,Tráfico de Drogas,2021,62
PE,Violência Doméstica,2007,9
MG,Furto,2013,360
RS,Tráfico de Drogas,2002,487
PR,Violência Doméstica,2000,379
CE,Homicídio,2018,375
CE,Tráfico de Drogas,2020,383
SP,Roubo,2010,351
PR,Violência Doméstica,2023,376
PE,Tráfico de Drogas,2004,284
SC,Furto,2024,370
SC,Tráfico de Drogas,2006,476
RS,Roubo,2023,271
BA,Tráfico de Drogas,2019,45
PE,Furto,2006,117
BA,Tráfico de Drogas,2014,188
SP,Tráfico de Drogas,2005,396
MG,Roubo,2007,469
SC,Roubo,2017,2
CE,Violência Doméstica,2006,248
MG,Violência Doméstica,2003,50
RJ,Homicídio,2015,1
AM,Homicídio,2021,81
SP,Furto,2023,213
PE,Tráfico de Drogas,2004,290
MG,Roubo,2009,421
RJ,Furto,2012,240
BA,Violência Doméstica,2010,461
SP,Violência Doméstica,2016,58
PE,Homicídio,2007,417
SC,Roubo,2021,261
BA,Tráfico de Drogas,2000,317
PR,Roubo,2003,37
RS,Homicídio,2005,471
SC,Homicídio,2023,162
PE,Furto,2023,399
CE,Homicídio,2001,206
SP,Homicídio,2001,29
SP,Furto,2002,196
CE,Violência Doméstica,2004,379
RJ,Tráfico de Drogas,2019,25
MG,Tráfico de Drogas,2010,335
AM,Homicídio,2000,451
RJ,Homicídio,2000,11
SP,Roubo,2004,164
SC,Roubo,2007,469
SP,Roubo,2011,219
RS,Tráfico de Drogas,2008,402
RJ,Roubo,2024,248
CE,Furto,2020,415
MG,Violência Doméstica,2001,294
BA,Roubo,2004,128
MG,Tráfico de Drogas,2007,207
RJ,Furto,2018,429
MG,Furto,2012,66
AM,Homicídio,2006,115
RJ,Homicídio,2004,412
SP,Violência Doméstica,2002,133
CE,Homicídio,2017,203
RJ,Roubo,2023,425
RJ,Furto,2011,408
MG,Homicídio,2016,37
AM,Furto,2019,323
AM,Tráfico de Drogas,2021,293
AM,Tráfico de Drogas,2002,270
PR,Homicídio,2003,387
RS,Furto,2009,237
SC,Homicídio,2010,459
SP,Furto,2008,380
PR,Tráfico de Drogas,2003,18
RJ,Homicídio,2007,85
AM,Tráfico de Drogas,2009,214
CE,Roubo,2024,291
PE,Tráfico de Drogas,2000,240
SC,Violência Doméstica,2018,55
PR,Tráfico de Drogas,2008,135
SC,Furto,2008,33
SP,Tráfico de Drogas,2007,58
RS,Furto,2019,404
RJ,Roubo,2014,143
PE,Homicídio,2007,390
PR,Furto,2010,205
PR,Tráfico de Drogas,2009,166
SP,Violência Doméstica,2002,28
MG,Violência Doméstica,2014,492
BA,Homicídio,2012,431
PE,Tráfico de Drogas,2009,162
AM,Tráfico de Drogas,2018,34
BA,Furto,2015,414
SC,Tráfico de Drogas,2017,3
SP,Furto,2017,424
